,problem,correct_solution,intermediate_1,intermediate_2
0,"[4, 7, 9, 2] ⋅ [6, 9, 4, 8]",139,24,16
1,"[6, 6, 2, 7] ⋅ [5, 7, 9, 8]",146,30,56
2,"[7, 5, 3, 5] ⋅ [7, 9, 7, 4]",135,49,20
3,"[7, 7, 5, 3] ⋅ [6, 4, 8, 3]",119,42,9
4,"[7, 4, 6, 8] ⋅ [5, 2, 3, 2]",77,35,16
5,"[8, 5, 2, 4] ⋅ [4, 3, 7, 7]",89,32,28
6,"[8, 7, 7, 8] ⋅ [3, 8, 6, 6]",170,24,48
7,"[6, 2, 4, 3] ⋅ [9, 6, 7, 7]",115,54,21
8,"[9, 2, 7, 8] ⋅ [5, 9, 5, 6]",146,45,48
9,"[6, 3, 2, 2] ⋅ [6, 5, 7, 4]",73,36,8
10,"[6, 8, 6, 7] ⋅ [5, 7, 4, 5]",145,30,35
11,"[6, 8, 3, 3] ⋅ [6, 5, 3, 9]",112,36,27
12,"[8, 3, 6, 5] ⋅ [7, 7, 6, 5]",138,56,25
13,"[4, 7, 5, 9] ⋅ [3, 6, 3, 5]",114,12,45
14,"[6, 5, 6, 2] ⋅ [6, 4, 7, 7]",112,36,14
15,"[9, 3, 7, 6] ⋅ [5, 5, 3, 2]",93,45,12
16,"[9, 3, 9, 4] ⋅ [7, 9, 5, 6]",159,63,24
17,"[7, 3, 3, 7] ⋅ [5, 9, 2, 6]",110,35,42
18,"[8, 5, 6, 6] ⋅ [8, 6, 6, 2]",142,64,12
19,"[7, 3, 6, 2] ⋅ [5, 7, 7, 6]",110,35,12
20,"[2, 4, 6, 5] ⋅ [5, 5, 8, 5]",103,10,25
21,"[9, 4, 7, 6] ⋅ [8, 2, 5, 5]",145,72,30
22,"[7, 6, 4, 9] ⋅ [8, 5, 8, 9]",199,56,81
23,"[6, 7, 4, 6] ⋅ [4, 9, 6, 2]",123,24,12
24,"[3, 7, 4, 6] ⋅ [5, 9, 6, 3]",120,15,18
25,"[6, 9, 8, 2] ⋅ [6, 5, 4, 8]",129,36,16
26,"[8, 6, 2, 4] ⋅ [8, 8, 4, 6]",144,64,24
27,"[3, 9, 7, 8] ⋅ [7, 3, 6, 5]",130,21,40
28,"[7, 7, 7, 5] ⋅ [8, 4, 6, 9]",171,56,45
29,"[3, 6, 8, 6] ⋅ [5, 7, 4, 4]",113,15,24
30,"[2, 8, 3, 5] ⋅ [7, 7, 3, 3]",94,14,15
31,"[2, 6, 5, 9] ⋅ [6, 5, 3, 2]",75,12,18
32,"[6, 3, 9, 2] ⋅ [2, 4, 8, 7]",110,12,14
33,"[7, 5, 9, 3] ⋅ [5, 9, 6, 9]",161,35,27
34,"[2, 9, 3, 2] ⋅ [7, 5, 5, 4]",82,14,8
35,"[5, 8, 9, 5] ⋅ [3, 4, 4, 4]",103,15,20
36,"[3, 9, 5, 3] ⋅ [2, 8, 3, 9]",120,6,27
37,"[9, 7, 9, 6] ⋅ [8, 5, 6, 3]",179,72,18
38,"[3, 2, 4, 3] ⋅ [8, 2, 9, 4]",76,24,12
39,"[7, 7, 2, 7] ⋅ [6, 7, 2, 5]",130,42,35
40,"[5, 9, 9, 8] ⋅ [9, 8, 9, 3]",222,45,24
41,"[3, 2, 8, 8] ⋅ [7, 7, 9, 7]",163,21,56
42,"[9, 8, 8, 5] ⋅ [6, 6, 4, 3]",149,54,15
43,"[7, 9, 5, 2] ⋅ [7, 3, 8, 3]",122,49,6
44,"[9, 2, 5, 3] ⋅ [4, 9, 9, 6]",117,36,18
45,"[4, 6, 9, 3] ⋅ [9, 4, 5, 8]",129,36,24
46,"[9, 3, 2, 8] ⋅ [3, 7, 7, 3]",86,27,24
47,"[5, 2, 6, 8] ⋅ [8, 5, 2, 8]",126,40,64
48,"[5, 2, 5, 6] ⋅ [9, 5, 8, 5]",125,45,30
49,"[9, 9, 8, 2] ⋅ [5, 8, 3, 9]",159,45,18
50,"[2, 4, 2, 4] ⋅ [6, 9, 3, 7]",82,12,28
51,"[2, 7, 6, 5] ⋅ [5, 4, 7, 3]",95,10,15
52,"[7, 3, 4, 9] ⋅ [7, 3, 9, 9]",175,49,81
53,"[8, 5, 5, 8] ⋅ [7, 3, 7, 3]",130,56,24
54,"[8, 3, 2, 8] ⋅ [2, 7, 2, 4]",73,16,32
55,"[5, 9, 8, 8] ⋅ [7, 2, 3, 9]",149,35,72
56,"[7, 7, 3, 2] ⋅ [8, 7, 6, 7]",137,56,14
57,"[5, 2, 7, 6] ⋅ [9, 7, 8, 4]",139,45,24
