,problem,correct_solution,intermediate_1,intermediate_2
0,"[6, 9, 5, 2, 9] ⋅ [6, 8, 6, 5, 9]",229,36,81
1,"[4, 4, 4, 9, 4] ⋅ [4, 5, 4, 6, 9]",142,16,36
2,"[5, 8, 5, 4, 9] ⋅ [8, 7, 7, 6, 5]",200,40,45
3,"[2, 9, 8, 8, 6] ⋅ [6, 5, 7, 7, 5]",199,12,30
4,"[9, 6, 4, 9, 2] ⋅ [3, 9, 2, 6, 4]",151,27,8
5,"[2, 2, 2, 3, 7] ⋅ [9, 5, 2, 8, 2]",70,18,14
6,"[9, 2, 5, 5, 6] ⋅ [4, 8, 5, 5, 5]",132,36,30
7,"[5, 6, 5, 5, 8] ⋅ [2, 2, 2, 7, 2]",83,10,16
8,"[8, 2, 7, 6, 3] ⋅ [3, 3, 7, 2, 5]",106,24,15
9,"[8, 5, 7, 3, 4] ⋅ [6, 5, 9, 8, 5]",180,48,20
10,"[7, 8, 7, 7, 7] ⋅ [8, 6, 4, 8, 3]",209,56,21
11,"[3, 4, 4, 5, 3] ⋅ [7, 9, 9, 9, 9]",165,21,27
12,"[4, 7, 4, 6, 8] ⋅ [6, 7, 8, 5, 8]",199,24,64
13,"[8, 6, 4, 5, 9] ⋅ [4, 3, 2, 6, 8]",160,32,72
14,"[9, 5, 2, 4, 8] ⋅ [6, 7, 4, 8, 7]",185,54,56
15,"[3, 2, 2, 6, 2] ⋅ [9, 9, 9, 8, 7]",125,27,14
16,"[6, 2, 2, 9, 7] ⋅ [8, 7, 8, 6, 6]",174,48,42
17,"[5, 6, 9, 6, 3] ⋅ [5, 6, 2, 4, 8]",127,25,24
18,"[2, 9, 9, 9, 2] ⋅ [9, 7, 8, 3, 3]",186,18,6
19,"[5, 7, 7, 6, 6] ⋅ [8, 3, 4, 6, 5]",155,40,30
20,"[8, 7, 3, 8, 3] ⋅ [8, 4, 8, 8, 8]",204,64,24
21,"[5, 3, 4, 7, 2] ⋅ [7, 2, 7, 5, 7]",118,35,14
22,"[2, 9, 8, 5, 3] ⋅ [3, 3, 5, 9, 5]",133,6,15
23,"[6, 4, 5, 5, 5] ⋅ [8, 4, 2, 7, 7]",144,48,35
24,"[8, 5, 2, 5, 7] ⋅ [2, 4, 6, 5, 4]",101,16,28
25,"[5, 6, 2, 4, 4] ⋅ [5, 4, 3, 4, 8]",103,25,32
26,"[5, 5, 2, 9, 4] ⋅ [8, 3, 8, 3, 3]",110,40,12
27,"[4, 4, 5, 4, 7] ⋅ [4, 5, 6, 2, 3]",95,16,21
28,"[5, 3, 7, 5, 2] ⋅ [6, 7, 2, 5, 6]",102,30,12
29,"[2, 2, 4, 7, 7] ⋅ [8, 7, 4, 4, 2]",88,16,14
30,"[6, 8, 9, 5, 9] ⋅ [9, 5, 5, 9, 3]",211,54,27
31,"[4, 2, 3, 6, 8] ⋅ [7, 3, 8, 6, 8]",158,28,64
32,"[9, 3, 6, 3, 2] ⋅ [2, 8, 3, 3, 8]",85,18,16
33,"[2, 7, 9, 2, 9] ⋅ [5, 2, 3, 2, 5]",100,10,45
34,"[8, 5, 8, 8, 3] ⋅ [4, 7, 3, 4, 7]",144,32,21
35,"[8, 2, 4, 5, 5] ⋅ [8, 6, 7, 9, 9]",194,64,45
36,"[4, 2, 5, 7, 3] ⋅ [6, 3, 6, 4, 8]",112,24,24
37,"[4, 4, 3, 6, 8] ⋅ [4, 8, 9, 6, 9]",183,16,72
38,"[7, 5, 7, 8, 7] ⋅ [5, 2, 9, 7, 9]",227,35,63
39,"[5, 9, 4, 9, 2] ⋅ [5, 7, 7, 6, 4]",178,25,8
40,"[7, 8, 4, 9, 6] ⋅ [6, 9, 5, 2, 6]",188,42,36
41,"[7, 5, 9, 5, 2] ⋅ [2, 9, 6, 5, 4]",146,14,8
42,"[4, 4, 5, 7, 9] ⋅ [9, 4, 4, 6, 5]",159,36,45
43,"[5, 2, 6, 4, 9] ⋅ [3, 5, 9, 2, 4]",123,15,36
44,"[6, 5, 9, 8, 7] ⋅ [9, 9, 6, 2, 8]",225,54,56
45,"[9, 6, 3, 3, 2] ⋅ [2, 7, 9, 5, 7]",116,18,14
46,"[7, 9, 3, 7, 6] ⋅ [3, 5, 4, 7, 6]",163,21,36
47,"[3, 8, 9, 4, 8] ⋅ [4, 7, 5, 4, 2]",145,12,16
48,"[7, 8, 3, 2, 4] ⋅ [5, 8, 5, 6, 6]",150,35,24
49,"[8, 2, 9, 8, 8] ⋅ [3, 5, 5, 9, 6]",199,24,48
50,"[6, 3, 5, 8, 2] ⋅ [6, 5, 2, 2, 8]",93,36,16
51,"[6, 6, 2, 6, 2] ⋅ [5, 9, 3, 8, 9]",156,30,18
52,"[3, 7, 4, 5, 4] ⋅ [4, 3, 8, 7, 4]",116,12,16
53,"[9, 6, 9, 8, 6] ⋅ [6, 7, 4, 3, 5]",186,54,30
54,"[5, 7, 5, 6, 3] ⋅ [7, 6, 9, 6, 4]",170,35,12
55,"[4, 4, 2, 6, 9] ⋅ [9, 2, 6, 2, 7]",131,36,63
56,"[5, 9, 2, 7, 9] ⋅ [4, 6, 3, 8, 9]",217,20,81
57,"[8, 2, 2, 4, 7] ⋅ [8, 4, 3, 7, 6]",148,64,42
58,"[6, 2, 9, 8, 8] ⋅ [8, 7, 5, 8, 6]",219,48,48
59,"[2, 8, 8, 7, 8] ⋅ [5, 9, 2, 4, 3]",150,10,24
60,"[6, 5, 7, 7, 9] ⋅ [2, 8, 2, 7, 3]",142,12,27
61,"[6, 7, 8, 2, 3] ⋅ [7, 6, 6, 8, 8]",172,42,24
62,"[5, 9, 9, 6, 4] ⋅ [4, 6, 7, 9, 9]",227,20,36
63,"[7, 7, 3, 8, 8] ⋅ [4, 3, 5, 2, 5]",120,28,40
64,"[8, 7, 4, 4, 3] ⋅ [9, 3, 4, 7, 5]",152,72,15
65,"[5, 4, 4, 4, 5] ⋅ [8, 4, 7, 7, 8]",152,40,40
66,"[7, 6, 9, 5, 7] ⋅ [8, 6, 3, 6, 9]",212,56,63
67,"[3, 2, 4, 2, 6] ⋅ [5, 2, 3, 5, 8]",89,15,48
68,"[9, 9, 7, 9, 9] ⋅ [3, 7, 4, 8, 9]",271,27,81
69,"[9, 3, 4, 9, 9] ⋅ [8, 9, 4, 7, 6]",232,72,54
70,"[5, 2, 5, 2, 3] ⋅ [3, 8, 4, 4, 9]",86,15,27
71,"[5, 4, 3, 2, 9] ⋅ [5, 6, 6, 2, 4]",107,25,36
72,"[4, 7, 5, 6, 9] ⋅ [9, 2, 2, 4, 5]",129,36,45
73,"[4, 7, 7, 4, 4] ⋅ [6, 9, 2, 3, 5]",133,24,20
74,"[9, 5, 8, 2, 8] ⋅ [2, 3, 6, 8, 3]",121,18,24
75,"[7, 8, 5, 9, 6] ⋅ [7, 4, 8, 4, 4]",181,49,24
76,"[8, 2, 7, 5, 7] ⋅ [4, 5, 8, 8, 4]",166,32,28
77,"[6, 7, 2, 2, 6] ⋅ [7, 3, 2, 2, 5]",101,42,30
78,"[8, 2, 7, 7, 5] ⋅ [8, 6, 2, 7, 5]",164,64,25
79,"[4, 8, 6, 6, 4] ⋅ [4, 4, 3, 9, 8]",152,16,32
80,"[5, 7, 9, 5, 6] ⋅ [9, 8, 5, 7, 8]",229,45,48
81,"[7, 3, 7, 5, 6] ⋅ [8, 2, 6, 7, 6]",175,56,36
82,"[5, 5, 5, 6, 5] ⋅ [5, 7, 2, 2, 8]",122,25,40
83,"[3, 5, 6, 6, 4] ⋅ [5, 8, 2, 7, 6]",133,15,24
84,"[6, 3, 3, 8, 3] ⋅ [6, 5, 9, 7, 5]",149,36,15
85,"[9, 2, 4, 8, 4] ⋅ [5, 5, 7, 4, 9]",151,45,36
86,"[8, 9, 7, 6, 3] ⋅ [3, 6, 9, 2, 9]",180,24,27
87,"[8, 6, 5, 8, 5] ⋅ [9, 9, 4, 2, 8]",202,72,40
88,"[8, 8, 8, 4, 2] ⋅ [2, 3, 9, 7, 3]",146,16,6
89,"[4, 3, 4, 3, 5] ⋅ [4, 4, 4, 3, 2]",63,16,10
